【テーブルA】評価セルマッピング										【テーブルB】グループ存在				【テーブルC】オプション選択				【テーブルD】メンテナンス状況						【テーブルE】カテゴリ調査状況				【テーブルF】項目調査実施状況							【テーブルG】資料値・実測値				【テーブルH】物件基本情報				【テーブルI】備考			【テーブルJ】定型写真				【テーブルK】不具合テンプレート							
itemId	aセル(V列)	b1セル(X列)	b2セル(W列)	cセル(Y列)	目視セル	計測セル	触診セル		項目名（参考）	groupKey	グループ名	有セル	無セル	optionKey	選択値名	セルアドレス	説明	maintId	要セル	不要セル	良好セル	特に問題無セル	説明	catId/groupId	実施セル	不可セル	不可理由セル	itemId	実施セル	不要セル	不可セル	不可理由セル	項目名		itemId	資料値セル	実測値セル	項目名	fieldKey	フィールド名	セルアドレス	説明	remarkKey	セルアドレス	説明	photoType	写真名	画像挿入先セル	備考	templateKey	シート名	場所セル(左)	部位セル(左)	劣化状況セル(左)	評価セル(左)	補修方法セル(左)	画像セル(左)
item23	W137	Y137	W138	Y138	S137	S138	S139		外部② 各点検口内: 小屋組劣化					wall_type_other_board	その他板状	D259	外壁の種類																																								
item24	W140	Y140	W141	Y141	S140	S141	S142		外部② 各点検口内: 横架材欠込み					wall_type_tile	タイル貼り	D260	外壁の種類																																								
item25	W143	Y143	W144	Y144	S143	S144	S145		外部② 各点検口内: 雨漏り跡・腐朽					pillar_gt105	105≧	D263	柱サイズ																																								
item26	W146	Y146	W147	Y147	S146	S147	S148		外部② 各点検口内: 配管配線接続					pillar_gte105	105＜	D264	柱サイズ																																								
item27	W149	Y149	W150	Y150	S149	S150	S151		外部② 各点検口内: ダクト接続					pillar_gte120	120≦	D265	柱サイズ																																								
item28	W152	Y152	W153	Y153	S152	S153	S154		外部② 各点検口内: 耐火被覆					wall_air_none	通気無	D268	外壁通気																																								
item29	W155	Y155	W156	Y156	S155	S156	S157		外部② 各点検口内: 鉄骨部サビ					wall_air_flow	通気工法	D269	外壁通気																																								
item30	W175	Y175	W176	Y176	S175	S176	S177		外部③ 建築物外部: コンクリート直仕上げ					wall_air_wet	湿式	D270	外壁通気																																								
item31	W178	Y178	W179	Y179	S178	S179	S180		外部③ 建築物外部: 欠損					wall_air_dry	乾式	D271	外壁通気																																								
item32	W181	Y181	W182	Y182	S181	S182	S183		外部③ 建築物外部: モルタル仕上げひび割れ					concrete_bare	コンクリート打放（増打無）	D275	コンクリート面仕上材																																								
item33	W184	Y184	W185	Y185	S184	S185	S186		外部③ 建築物外部: モルタル欠損					concrete_fukitsuke	吹付タイル	D277	コンクリート面仕上材																																								
item34	W187	Y187	W188	Y188	S187	S188	S189		外部③ 建築物外部: 仕上げ剥離					concrete_mortar	モルタル塗り（15mm以上）	D278	コンクリート面仕上材																																								
item35	W190	Y190	W191	Y191	S190	S191	S192		外部③ 建築物外部: その他仕上げ					concrete_tile	タイル貼り	D280	コンクリート面仕上材																																								
item36	W193	Y193	W194	Y194	S193	S194	S195		外部③ 建築物外部: 鉄筋露出					concrete_stone	石貼り	D281	コンクリート面仕上材																																								
item37	W196	Y196	W197	Y197	S196	S197	S198		外部③ 建築物外部: 基礎沈下					steel_wall_pc	PCパネル	D285	外壁の種類(鉄骨)																																								
item38	W199	Y199	W200	Y200	S199	S200	S201		外部③ 建築物外部: 基礎天端高さ					steel_wall_alc_fuki	ALC板吹付仕上	D286	外壁の種類(鉄骨)																																								
item39	W202	Y202	W203	Y203	S202	S203	S204		外部③ 建築物外部: 設備配管隙間					steel_wall_curtain	カーテンウォール	D287	外壁の種類(鉄骨)																																								
item40	W252	Y252	W253	Y253	S252	S253	S254		外部③ 建築物外部: 外壁ひび割れ					steel_wall_other_wet	その他湿式工法	D288	外壁の種類(鉄骨)																																								
item41	W255	Y255	W256	Y256	S255	S256	S257		外部③ 建築物外部: 外壁欠損					steel_wall_dry	乾式工法	D290	外壁の種類(鉄骨)																																								
item42	W258	Y258	W259	Y259	S258	S259	S260		外部③ 建築物外部: コンクリート劣化					steel_wall_alc_tile	ALC板タイル貼仕上	D292	外壁の種類(鉄骨)																																								
item43	W261	Y261	W262	Y262	S261	S262	S263		外部③ 建築物外部: さび汁・白華					eave_lt300	300＞	D297	庇の出																																								
item44	W264	Y264	W265	Y265	S264	S265	S266		外部③ 建築物外部: 鉄筋露出					eave_gte300	300≦	D298	庇の出																																								
item45	W267	Y267	W268	Y268	S267	S268	S269		外部③ 建築物外部: 下地材劣化					eave_gte450	450≦	D299	庇の出																																								
item46	W270	Y270	W271	Y271	S270	S271	S272		外部③ 建築物外部: タイル劣化					eave_gte900	900≦	D300	庇の出																																								
